n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
307,0.00348,-,0.00316,0.11578,-,0.11601
308,0.00274,-,0.00351,0.11606,-,0.11547
309,0.00273,-,0.00281,0.11500,-,0.11558
310,0.00354,-,0.00334,0.11504,-,0.11617
311,0.00302,-,0.00249,0.16519,-,0.11602
312,0.00336,-,0.00313,0.16606,-,0.11590
313,0.00331,-,0.00335,0.16619,-,0.16601
314,0.00348,-,0.00316,0.16597,-,0.16593
315,0.00374,-,0.00336,0.11573,-,0.11573
316,0.00319,-,0.00319,0.11533,-,0.11601
317,0.00317,-,0.00316,0.16592,-,0.11628
318,0.00331,-,0.00297,0.16527,-,0.11549
319,0.00291,-,0.00206,0.11595,-,0.16581
320,0.00407,-,0.00317,0.16674,-,0.11634
321,0.00388,-,0.00329,0.11621,-,0.11565
322,0.00367,-,0.00319,0.11564,-,0.16560
323,0.00288,-,0.00244,0.11552,-,0.16557
324,0.00302,-,0.00284,0.11538,-,0.11597
325,0.00341,-,0.00272,0.11503,-,0.11610
326,0.00295,-,0.00330,0.11551,-,0.16693
327,0.00340,-,0.00356,0.11584,-,0.11667
328,0.00354,-,0.00251,0.16657,-,0.11568
329,0.00336,-,0.00347,0.11503,-,0.11525
330,0.00571,-,0.00298,0.11531,-,0.11638
331,0.00305,-,0.00290,0.11581,-,0.11647
332,0.00316,-,0.00268,0.11514,-,0.11550
333,0.00360,-,0.00311,0.16553,-,0.11564
334,0.00351,-,0.00347,0.16644,-,0.16612
335,0.00346,-,0.00317,0.11544,-,0.16565
336,0.00310,-,0.00341,0.11578,-,0.11604
337,0.00578,-,0.00326,0.11559,-,0.16628
338,0.00384,-,0.00331,0.16594,-,0.16665
339,0.00374,-,0.00325,0.11556,-,0.11584
340,0.00323,-,0.00335,0.16623,-,0.11616
341,0.00378,-,0.00326,0.16638,-,0.11652
342,0.00388,-,0.00291,0.16654,-,0.16669
343,0.00342,-,0.00316,0.16587,-,0.16643
344,0.00528,-,0.00273,0.16615,-,0.16713
345,0.00387,-,0.00341,0.11617,-,0.16637
346,0.00337,-,0.00338,0.11554,-,0.16593
347,0.00335,-,0.00294,0.16559,-,0.11582
348,0.00317,-,0.00305,0.11599,-,0.16638
349,0.00375,-,0.00338,0.16621,-,0.16644
350,0.00397,-,0.00350,0.11652,-,0.16650
351,0.00380,-,0.00375,0.11624,-,0.16638
352,0.00373,-,0.00345,0.16636,-,0.16684
353,0.00365,-,0.00358,0.16639,-,0.16677
354,0.00377,-,0.00374,0.11639,-,0.11638
355,0.00351,-,0.00313,0.11585,-,0.16673
356,0.00358,-,0.00339,0.16644,-,0.16679
357,0.00355,-,0.00306,0.11612,-,0.16673
358,0.00383,-,0.00335,0.16642,-,0.16719
359,0.00363,-,0.00341,0.11636,-,0.11664
360,0.00360,-,0.00303,0.11567,-,0.11587
361,0.00555,-,0.00339,0.16621,-,0.16619
362,0.00322,-,0.00269,0.16640,-,0.16586
363,0.00534,-,0.00276,0.16567,-,0.16619
364,0.00506,-,0.00312,0.11620,-,0.11618
365,0.00383,-,0.00315,0.16586,-,0.16672
366,0.00356,-,0.00311,0.16614,-,0.21744
367,0.00384,-,0.00335,0.16630,-,0.11656
368,0.00341,-,0.00300,0.11597,-,0.11616
369,0.00324,-,0.00281,0.16592,-,0.11648
370,0.00381,-,0.00339,0.16601,-,0.11654
371,0.00352,-,0.00306,0.11587,-,0.16663
372,0.00554,-,0.00306,0.16588,-,0.11599
373,0.00301,-,0.00290,0.11554,-,0.11592
374,0.00336,-,0.00281,0.11560,-,0.16582
375,0.00289,-,0.00266,0.16494,-,0.16537
376,0.00297,-,0.00295,0.16553,-,0.21621
377,0.00385,-,0.00354,0.16618,-,0.11561
378,0.00287,-,0.00317,0.16615,-,0.11640
379,0.00371,-,0.00381,0.11604,-,0.11537
380,0.00288,-,0.00295,0.11492,-,0.16598
381,0.00336,-,0.00316,0.11562,-,0.11559
382,0.00529,-,0.00275,0.11571,-,0.11554
